musym,value,value_opt,unfavorable
286C2,94,106,0
300,107,121,0
307B,105,118,0
308C,107,121,0
327D3,96,109,0
3304,89,100,0
3306,120,136,0
53C2,75,85,0
53D2,75,85,0
551C2,75,85,0
551D3,75,85,0
7072A,108,122,0
7208,102,116,0
7331,117,132,0
8070,116,132,0
8071,98,111,0
8083,103,116,0
8092,74,84,0
8107+,123,139,0
8288,103,117,0
8302,101,114,0
850C2,81,92,0
850C3,81,92,0
850D2,81,92,0
850D3,81,92,0
929C3,89,100,0
929E2,89,100,0
929E3,89,100,0
999E3,107,121,0
999F3,107,121,0
106B,100,113,0
1200A,97,110,0
171iB,122,138,0
171iC2,122,138,0
204B2,96,109,0
332C2,88,99,0
355A,93,105,0
357B,94,107,0
379B2,99,112,0
397D,61,69,0
429C,92,105,0
503C2,90,101,0
509D,79,90,0
509F,79,90,0
570D,101,114,0
648A,123,139,0
649A,121,137,0
650B,116,131,0
727A,97,109,0
741D3,73,82,0
742B2,92,104,0
742C2,92,104,0
756B,106,120,0
756C2,106,120,0
757B2,95,107,0
757C2,95,107,0
761D,76,86,0
761F,76,86,0
8067A,117,133,0
93E,74,84,0
150C,97,110,0
228C,78,89,0
25E,80,90,0
25F,80,90,0
294B2,116,131,0
300A,107,121,0
3292A,109,123,0
398B,115,130,0
448B2,104,118,0
539B,114,129,0
539C2,114,129,0
560F,83,94,0
573B,90,102,0
573C2,90,102,0
609A,110,124,0
721A,127,144,0
148D2,120,135,0
159B,106,120,0
159C2,106,120,0
171D2,122,138,0
3107AS,123,139,0
3284AS,118,134,0
3408A,0,0,0
36A,123,139,0
36B,123,139,0
36D2,123,139,0
374A,120,135,0
622D2,106,120,0
684A,122,138,0
685C2,103,117,0
685D2,103,117,0
7191A,107,121,0
733C2,108,122,0
733C3,108,122,0
736D2,103,116,0
737A,123,139,0
737C2,123,139,0
748C2,126,142,0
827A,122,138,0
827B,122,138,0
827B2,122,138,0
828D2,122,138,0
861B2,75,85,0
861D2,75,85,0
861F,75,85,0
898F2,81,92,0
9152A,127,144,0
965C2,97,110,0
3352A,104,118,0
56C2,116,131,0
7136A,99,112,0
119B2,99,112,0
250D,100,113,0
259B2,106,119,0
470B,101,114,0
515B3,98,110,0
587B,116,132,0
657A,95,108,0
880B2,98,110,0
882B,98,110,0
897D3,79,90,0
2071L,0,0,0
2079D,106,120,0
2113B,105,119,0
2122B,87,98,0
2183A,0,0,0
2284A,0,0,0
2304B,0,0,0
2384B,124,141,0
2477B,0,0,0
2592A,0,0,0
2741B,73,82,0
3038B,96,109,0
3592A,106,120,0
35F,97,110,0
385A,125,141,0
438C2,121,137,0
441C2,123,139,0
491B,103,116,0
491C2,103,116,0
491D2,103,116,0
491D3,103,116,0
702F,81,92,0
703A,95,108,0
7053B,75,85,0
7122C,87,98,0
7151A,101,114,0
7445A,111,125,0
7741B,73,82,0
7741C,73,82,0
79F3,106,120,0
79G,106,120,0
801D,0,0,0
8038B,96,109,0
8071L,98,111,0
8304B,89,100,0
8415wA,116,131,0
8591A,102,115,0
8592A,106,120,0
867,0,0,0
878C3,98,110,0
8831A,0,0,0
914D3,79,90,0
962F2,97,110,0
1524A,91,103,0
15B2,97,110,0
3108T,98,111,0
3225A,89,100,0
551D2,75,85,0
581A,82,93,0
652D2,84,95,0
7337B,98,110,0
888C2,77,88,0
912B,82,93,0
914C2,79,90,0
947D2,81,92,0
947D3,81,92,0
1480L,103,117,0
194F,92,104,0
224E,93,105,0
233B2,108,122,0
3360L,100,113,0
3480L,103,117,0
383B,119,134,0
570C,101,114,0
7304B,89,100,0
8368A,95,107,0
883F,80,90,0
883G,80,90,0
88C2,81,92,0
93G,74,84,0
1166L,118,133,0
1201A,98,110,0
150C2,97,110,0
159A,106,120,0
266A,96,108,0
3088B,81,92,0
3304L,89,100,0
3682A,116,131,0
3682AS,116,131,0
54F,67,76,0
7150B,97,110,0
770A,91,103,0
8088B,81,92,0
8100A,104,118,0
8103A,115,130,0
89A,83,94,0
3108L,98,111,0
3382L,104,117,0
3426A+,89,101,0
453C2,105,119,0
453D2,105,119,0
955D2,56,63,0
956B,83,94,0
956C2,83,94,0
956C3,83,94,0
956D,83,94,0
956D2,83,94,0
956D3,83,94,0
956E2,83,94,0
956F,83,94,0
799D,0,0,0
1067A,117,133,0
1153A,120,136,0
1206A,112,126,0
1488A,107,121,0
1626A,110,124,0
297A,115,129,0
323C3,91,103,0
361C,91,102,0
361C3,91,102,0
361E,91,102,0
361F,91,102,0
527C,102,115,0
527D,102,115,0
625A,121,137,0
193B2,98,110,0
213A,118,133,0
224G,93,105,0
27B2,99,112,0
27C2,99,112,0
318B2,0,0,0
322B2,103,116,0
567A,111,125,0
614B2,114,129,0
687B2,115,130,0
893B,122,138,0
964D,80,90,0
270A,111,125,0
279B3,106,120,0
3070AS,116,132,0
34B2,116,131,0
630C2,92,104,0
685C3,103,117,0
685D3,103,117,0
827C2,122,138,0
828B,122,138,0
898D2,81,92,0
898D3,81,92,0
898F3,81,92,0
898G,81,92,0
962C2,97,110,0
212C,98,111,0
274D,106,120,0
3870L,116,132,0
567D,111,125,0
572C,107,121,0
689G,67,76,0
7428A,117,132,0
899B,122,138,0
960F,108,122,0
1071A,98,111,0
123,0,0,0
1457A,79,89,0
1591A,102,115,0
3391A,103,116,0
3646A,0,0,0
3847L,0,0,0
423A,97,110,0
5079B2,106,120,0
5079C3,106,120,0
5079G,106,120,0
5491C3,103,116,0
5491D3,103,116,0
5491G,103,116,0
5582B,96,109,0
5582C2,96,109,0
582B2,96,109,0
658F,71,80,0
75F,112,126,0
8084A,85,96,0
8122B,87,98,0
8122C3,87,98,0
8336A,113,128,0
8338B,88,100,0
8394B,105,118,0
8436B,121,137,0
8457L,79,89,0
8812F,0,0,0
884B2,98,110,0
884C3,98,110,0
886F,103,116,0
886F3,103,116,0
907D3,87,98,0
988F,0,0,0
127B2,115,130,0
138A+,115,130,0
581B,82,93,0
582C,96,109,0
583A,103,116,0
583D2,103,116,0
7788B,113,127,0
790A,0,0,0
882B2,98,110,0
998F,81,92,0
19E2,98,111,0
19E3,98,111,0
588A,81,92,0
7026A,96,109,0
7087A,92,104,0
7180A,116,131,0
7242B,110,125,0
7588A,81,92,0
8cE3,81,92,0
915E2,99,112,0
962E3,97,110,0
291A,104,118,0
291B2,104,118,0
3132A,106,119,0
56A,116,131,0
791B2,96,109,0
106C2,100,113,0
259A,106,119,0
3103A,115,130,0
397B,61,69,0
410B,87,98,0
416B,112,127,0
509C2,79,90,0
509D2,79,90,0
509E2,79,90,0
55B,117,132,0
661B,100,113,0
661C2,100,113,0
727B,97,109,0
742B,92,104,0
742C,92,104,0
761B,76,86,0
87C,92,104,0
919D,96,109,0
919E,96,109,0
939D,74,84,0
939E,74,84,0
119E,99,112,0
24D,108,122,0
282F,66,75,0
3210A,111,126,0
3239A,113,127,0
3304B,89,100,0
3406A,106,120,0
3406L,106,120,0
709A,101,115,0
709B2,101,115,0
7239A,113,127,0
7406A,106,120,0
8406A,106,120,0
857G,80,90,0
872C,97,110,0
5002A,97,109,0
5912A,82,93,0
5D,92,104,0
821G,71,80,0
823C,86,97,0
860D3,79,90,0
908F3,81,92,0
9912A,82,93,0
9912B2,82,93,0
9991A,97,109,0
148C3,120,135,0
56C3,116,131,0
622C3,106,120,0
7722A,127,144,0
271C3,100,114,0
271D3,100,114,0
3404L,104,118,0
3415L,116,131,0
3428L,117,132,0
3475L,97,110,0
549E2,94,107,0
605E2,76,86,0
630B2,92,104,0
652D3,84,95,0
7815B,95,108,0
8395A,104,118,0
8789A,101,114,0
9278B,111,125,0
339B,80,90,0
471D2,54,61,0
598B,83,93,0
598C,83,93,0
691C2,75,85,0
691D2,75,85,0
99F,0,0,0
308D,107,121,0
453C,105,119,0
453C3,105,119,0
453D3,105,119,0
694D2,73,82,0
694F,73,82,0
1302A,101,114,0
131B2,98,111,0
194C2,92,104,0
194D2,92,104,0
205C,86,97,0
205D,86,97,0
359D,108,122,0
359D2,108,122,0
7093B,74,84,0
7379A,99,112,0
7570A,101,114,0
7587B,116,132,0
819G,80,90,0
8378A,72,81,0
1288L,103,117,0
1457L,79,89,0
3085L,73,82,0
338B,88,100,0
437D,101,114,0
437D3,101,114,0
468A,107,121,0
491C3,103,116,0
491D,103,116,0
5079D2,106,120,0
515D,98,110,0
5491D2,103,116,0
571B,106,120,0
690F,82,93,0
690G,82,93,0
8085L,73,82,0
821C,71,80,0
825B,80,90,0
825D,80,90,0
851E3,106,120,0
851F,106,120,0
851G,106,120,0
852F,106,120,0
854F,106,120,0
855F,103,116,0
860D,79,90,0
884D3,98,110,0
886E3,103,116,0
909A,98,110,0
909B,98,110,0
934D3,92,104,0
581C3,82,93,0
620B3,82,93,0
95,0,0,0
1400A,121,137,0
1654A,98,110,0
525A,115,130,0
570D3,101,114,0
763A,115,130,0
763B,115,130,0
764C,93,105,0
774A,96,108,0
913D2,81,92,0
943D2,106,120,0
944D2,86,97,0
946F3,79,90,0
959G,66,75,0
960D2,108,122,0
960D3,108,122,0
961A,82,93,0
467D3,93,105,0
786D3,77,87,0
786E,77,87,0
803C,0,0,0
803F,0,0,0
804F,0,0,0
8524A,91,103,0
8524A+,91,103,0
630D2,92,104,0
801C,0,0,0
8104A,117,132,0
823F,86,97,0
132,106,119,0
154,127,144,0
219,114,129,0
585C2,90,102,0
585D2,90,102,0
1248A,105,119,0
1288A,103,117,0
2079E,106,120,0
3083L,103,116,0
3394A,105,118,0
423B,97,110,0
433A,90,102,0
437C2,101,114,0
466A,112,127,0
477B2,105,119,0
491B2,103,116,0
585F2,90,102,0
8122D3,87,98,0
8131B,98,111,0
826D,0,0,0
8338A,88,100,0
8338B2,88,100,0
8338C2,88,100,0
8394A,105,118,0
8434B,104,117,0
8489A,88,100,0
8524L,91,103,0
8646A,0,0,0
906C3,88,100,0
379C2,99,112,0
448D3,104,118,0
7067A,117,133,0
104B,117,132,0
105C,114,129,0
198B,127,143,0
22C3,100,113,0
403D2,54,61,0
403F2,54,61,0
40C2,92,104,0
40D2,92,104,0
410C3,87,98,0
414C,110,125,0
417C3,84,95,0
547B,93,105,0
732C,93,105,0
735C2,91,103,0
745C2,100,113,0
752C2,97,109,0
8210A,111,126,0
8579A,75,85,0
19C2,98,111,0
233C3,108,122,0
266B,96,108,0
7103A,115,130,0
7134A,106,119,0
7243A,108,122,0
7290A,105,119,0
7387A,102,115,0
7672A,104,117,0
7800B,0,0,0
93F,74,84,0
692D,106,120,0
694D,73,82,0
834G,80,90,0
940D,87,99,0
182A,108,123,0
496B2,107,121,0
530G,96,109,0
758A,0,0,0
8473A,117,132,0
1071,98,111,0
1306A,120,136,0
131E3,98,111,0
132B2,106,119,0
164C,96,109,0
164C3,96,109,0
167A,96,108,0
176B,109,123,0
3070+,116,132,0
3071,98,111,0
307A,105,118,0
307C2,105,118,0
308B2,107,121,0
3142,117,132,0
3142+,117,132,0
3304+,89,100,0
3304C,89,100,0
3306+,120,136,0
3306B,120,136,0
3306C,120,136,0
3382B,104,117,0
467E3,93,105,0
87,92,104,0
8C3,81,92,0
8E2,81,92,0
999C2,107,121,0
999D2,107,121,0
999D3,107,121,0
1405A,103,116,0
212D2,98,111,0
212F,98,111,0
895D,108,122,0
432B,97,110,0
7337A,98,110,0
7468A,107,121,0
796A,95,108,0
878C2,98,110,0
1108T,98,111,0
3208A,102,116,0
3231A,114,129,0
3468A,107,121,0
3482C2,104,117,0
3483A,104,117,0
3524A,91,103,0
142A+,117,132,0
231A,114,129,0
3103L,115,130,0
3142A,117,132,0
3178A,88,99,0
3465A,98,110,0
3601A,102,116,0
3602A,92,104,0
436A,121,137,0
436B,121,137,0
445A,111,125,0
446A,117,132,0
482B2,104,117,0
483A,104,117,0
7142A,117,132,0
7142A+,117,132,0
7173A,89,100,0
7173B2,89,100,0
7176A,109,123,0
7178A,88,99,0
7184A,98,111,0
7436A,121,137,0
7446A,117,132,0
7465A,98,110,0
7467B2,93,105,0
7467C2,93,105,0
7482B,104,117,0
7482C2,104,117,0
7484A,124,140,0
750A,93,105,0
750B,93,105,0
750C2,93,105,0
751A,94,107,0
7524A,91,103,0
7524A+,91,103,0
7750A,93,105,0
7750B,93,105,0
7750C2,93,105,0
7751A,94,107,0
7812E,0,0,0
784F,56,63,0
175B2,86,98,0
2087B,92,104,0
2198A,127,143,0
2408A,0,0,0
2485B,120,136,0
3452A,112,127,0
412C,116,131,0
485C2,120,136,0
486B,101,114,0
486C2,101,114,0
54C,67,76,0
54E,67,76,0
7210A,111,126,0
7345A,104,118,0
7349B,87,98,0
7516A,102,115,0
759A,91,103,0
7603A,116,131,0
760A,109,123,0
868,0,0,0
869,0,0,0
943E3,106,120,0
240C2,106,120,0
298B2,101,114,0
316A,43,49,0
3314A,87,98,0
93D2,74,84,0
122F2,87,98,0
7122F2,87,98,0
730B,0,0,0
730D,0,0,0
730G,0,0,0
908D3,81,92,0
403C,54,61,0
505C2,66,74,0
506A,100,113,0
728D2,108,122,0
768B,77,87,0
768D,77,87,0
769B,79,89,0
769D,79,89,0
769E2,79,89,0
9051A,130,147,0
9086A,125,141,0
9279A,106,120,0
93E2,74,84,0
9675A,119,134,0
1210L,111,126,0
154B,127,144,0
223D,103,116,0
241C2,69,77,0
322D2,103,116,0
8400L,121,137,0
8402A,122,138,0
